time_sec,mission_state,lidar_state,target_class,confidence,bird_confirmed,sound_state,bird_removal_state,removed_bird_count,safety_state,image_count,gt_used_for_decision
1.9000000000000001,UNKNOWN,UNKNOWN,none,0.0,false,UNKNOWN,UNKNOWN,0,UNKNOWN,0,false
2.0,IDLE mode=AUTO nav_goal=NONE,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=0 roi=0 cluster=0 tf_ok=False fallback_allowed=False decision_allowed=True,unknown,0.0,false,IDLE_NO_REQUEST,UNKNOWN,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,1,false
3.0,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=0 cluster=0 tf_ok=False fallback_allowed=False decision_allowed=True,unknown,0.0,false,IDLE_NO_REQUEST,UNKNOWN,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,30,false
4.0,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=0 cluster=0 tf_ok=False fallback_allowed=False decision_allowed=True,unknown,0.0,false,IDLE_NO_REQUEST,UNKNOWN,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,57,false
5.0,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=0 cluster=0 tf_ok=False fallback_allowed=False decision_allowed=True,unknown,0.0,false,IDLE_NO_REQUEST,UNKNOWN,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,85,false
6.0,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=0 cluster=0 tf_ok=False fallback_allowed=False decision_allowed=True,unknown,0.0,false,IDLE_NO_REQUEST,UNKNOWN,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,112,false
7.0,RESUME_PATROL mode=AUTO nav_goal=NONE,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=0 cluster=0 tf_ok=False fallback_allowed=False decision_allowed=True,unknown,0.0,false,IDLE_NO_REQUEST,UNKNOWN,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,139,false
8.0,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=48 cluster=48 tf_ok=True fallback_allowed=False decision_allowed=True,unknown,0.0,false,IDLE_NO_REQUEST,UNKNOWN,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,169,false
9.0,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=94 cluster=94 tf_ok=True fallback_allowed=False decision_allowed=True,unknown,0.0,false,IDLE_NO_REQUEST,UNKNOWN,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,197,false
10.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=48 cluster=48 tf_ok=True fallback_allowed=False decision_allowed=True,bird,0.9200000166893005,true,IDLE_NO_REQUEST,TRACKING_HOLD_STARTED bird=bird_test_target mission_state=APPROACH_TARGET_OFFSET target_class=unknown bird_confirmed=False dynamic_lock=True,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,224,false
11.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=2 cluster=0 tf_ok=False fallback_allowed=False decision_allowed=True,bird,0.9200000166893005,true,IDLE_NO_REQUEST,TRACKING_HOLD_STARTED bird=bird_test_target mission_state=APPROACH_TARGET_OFFSET target_class=unknown bird_confirmed=False dynamic_lock=True,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,255,false
12.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=30 cluster=30 tf_ok=True fallback_allowed=False decision_allowed=True,bird,0.9200000166893005,true,IDLE_NO_REQUEST,TRACKING_HOLD_STARTED bird=bird_single mission_state=APPROACH_TARGET_OFFSET target_class=bird bird_confirmed=True dynamic_lock=True,1,AUTO_PASS SCAN_DISABLED_TEST_ONLY,283,false
13.0,TARGET_REACHED mode=AUTO nav_goal=NONE,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=0 cluster=0 tf_ok=False fallback_allowed=False decision_allowed=True,bird,0.9200000166893005,true,IDLE_NO_REQUEST,TRACKING_HOLD_STARTED bird=bird_single mission_state=APPROACH_TARGET_OFFSET target_class=bird bird_confirmed=True dynamic_lock=True,1,AUTO_PASS SCAN_DISABLED_TEST_ONLY,313,false
